TITLE     = "Versuch_09 | Versuch_09"
VARIABLES = "Time [s]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Kalibrator [Pa]"
"Cavity Pressure [Pa]"
ZONE T="Sensoren_03"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE SINGLE DOUBLE )
 PASSIVEVARLIST=[4]
 4.027400000E-001 3.270292381E+000 -5.706025309E+001 1.597284476E+004
 4.027500000E-001 3.272547019E+000 -5.705059024E+001 1.596934590E+004
 4.027600000E-001 3.271419700E+000 -5.706025309E+001 1.596899601E+004
 4.027700000E-001 3.269004017E+000 -5.706669500E+001 1.596184833E+004
 4.027800000E-001 3.270131336E+000 -5.705703214E+001 1.597949260E+004
 4.027900000E-001 3.269004017E+000 -5.705703214E+001 1.597014564E+004
 4.028000000E-001 3.269326108E+000 -5.705059024E+001 1.597809306E+004
 4.028100000E-001 3.270775518E+000 -5.705381119E+001 1.596874609E+004
 4.028200000E-001 3.272547019E+000 -5.705703214E+001 1.597804308E+004
 4.028300000E-001 3.268037744E+000 -5.705381119E+001 1.598134200E+004
 4.028400000E-001 3.270775518E+000 -5.705703214E+001 1.597984249E+004
 4.028500000E-001 3.271258654E+000 -5.705703214E+001 1.597959257E+004
 4.028600000E-001 3.272224928E+000 -5.705381119E+001 1.598254161E+004
 4.028700000E-001 3.266749379E+000 -5.706025309E+001 1.597509403E+004
 4.028800000E-001 3.271741791E+000 -5.705703214E+001 1.597919270E+004
 4.028900000E-001 3.269487153E+000 -5.706025309E+001 1.597494408E+004
 4.029000000E-001 3.271741791E+000 -5.705703214E+001 1.599328812E+004
 4.029100000E-001 3.269809245E+000 -5.705703214E+001 1.598494084E+004
 4.029200000E-001 3.273513292E+000 -5.706991595E+001 1.598064223E+004
 4.029300000E-001 3.270292381E+000 -5.706347405E+001 1.597319465E+004
 4.029400000E-001 3.271902837E+000 -5.706669500E+001 1.597474415E+004
 4.029500000E-001 3.269326108E+000 -5.706025309E+001 1.597394441E+004
 4.029600000E-001 3.270292381E+000 -5.706025309E+001 1.596549715E+004
 4.029700000E-001 3.269970290E+000 -5.705703214E+001 1.598259160E+004
 4.029800000E-001 3.271097609E+000 -5.706025309E+001 1.597274480E+004
 4.029900000E-001 3.270775518E+000 -5.706669500E+001 1.598694019E+004
 4.030000000E-001 3.273191201E+000 -5.706025309E+001 1.596799634E+004
 4.030100000E-001 3.270453427E+000 -5.706347405E+001 1.597354454E+004
